PSAP ID,PSAP Name,State,County,City,Type of Change,Comments
3722,Rice / Steele County Combined 911 Center,MN,Steele,Owatonna,S,PSAP is either a Duplicate or a Secondary PSAP. Calls are handled by PSAP #3696
3696,Rice/steele Counties Combined Psap,MN,Steele,Owatonna,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
3708,Richfield Police Department,MN,Hennepin,Richfield,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
3709,Rochester Police Department,MN,Olmsted,Rochester,S,PSAP is either a Duplicate or a Secondary PSAP. Calls are handled by PSAP #3694
3710,Rock County Psap,MN,Rock,Luverne,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
3711,Roseau County Psap,MN,Roseau,Roseau,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
3712,Scott County Sheriffs Office,MN,Scott,Shakopee,NC,
3713,Sherburne County Psap,MN,Sherburne,Elk River,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
3714,Sibley County Psap,MN,Sibley,Gaylord,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
3715,St Cloud Pd Psap,MN,Stearns,St Cloud,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
3717,St Louis County Emergency Communications-virginia,MN,St. Louis,Virginia,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
3716,St Louis County Psap,MN,St. Louis,Duluth,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
3718,St Louis Park Police Department,MN,Hennepin,St Louis Park,NC,
3719,St Marys Hospital,MN,Becker,Detroit Lakes,S,PSAP is either a Duplicate or a Secondary PSAP. Calls are handled by PSAP #3600
3720,St Paul Police Department,MN,Ramsey,St Paul,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
3721,Stearns County Psap,MN,Stearns,St Cloud,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
3723,Stevens County Psap,MN,Stevens,Morris,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
3724,Swift County Psap,MN,Swift,Benson,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
3725,Thief River Falls Police,MN,Pennington,Thief River Falls,S,PSAP is either a Duplicate or a Secondary PSAP. Calls are handled by PSAP #3697
3726,Todd County Psap,MN,Todd,Long Prairie,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
3727,Traverse County Psap,MN,Traverse,Wheaton,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
3728,University Of Minnesota Police Department,MN,Hennepin,Minneapolis,NC,
3729,Wabasha County Psap,MN,Wabasha,Wabasha,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
3730,Wadena County Psap,MN,Wadena,Wadena,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
3731,Waseca County Psap,MN,Waseca,Waseca,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
3732,Washington County Sheriffs Office,MN,Washington,Stillwater,NC,
3733,Watonwan County Psap,MN,Watonwan,St James,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
3734,West St Paul Police Department,MN,Dakota,West St Paul,S,PSAP is either a Duplicate or a Secondary PSAP. Calls are handled by PSAP #3621
3735,White Bear Lake Police Department,MN,Ramsey,White Bear Lake,NC,
3736,White Earth Tribal Police,MN,Becker,White Earth,S,PSAP is either a Duplicate or a Secondary PSAP. Calls are handled by PSAP #3600
3737,Wilkin County Psap,MN,Wilkin,Breckenridge,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
3738,Winona County Psap,MN,Winona,Winona,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
3739,Wright County Psap,MN,Wright,Buffalo,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
3740,Yellow Medicine County Psap,MN,Yellow Medicine,Granite Falls,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
3741,Andrew County,MO,Andrew,Savannah,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
8101,Arnold Police Department,MO,Jefferson,Arnold,A,PSAP was added since the original posting of the FCC Registry.
3742,Atchison County 9-1-1,MO,Atchison,Rockport,NC,
3743,Atchison County Sheriffs Office,MO,Atchison,Rockport,S,PSAP is either a Duplicate or a Secondary PSAP. Calls are handled by PSAP #3742
3744,Audrain County Communications Center,MO,Audrain,Mexico,NC,
3745,Aurora Police Department,MO,Lawrence,Aurora,NC,
3746,Ballwin Police Department,MO,St. Louis,Ballwin,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
3747,Barry County E911,MO,Barry,Camden,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
3748,Barton County,MO,Barton,Lamar,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
3749,Bates County Sheriffs Office,MO,Bates,Butler,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
3750,Belton Police Department,MO,Cass,Belton,NC,
8111,Benton County Central Dispatch,MO,Benton,Warsaw,A,PSAP was added since the original posting of the FCC Registry.
3751,Benton County Sheriffs Office,MO,Benton,Warsaw,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
3752,Benton Police Department,MO,Scott,Benton,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
3753,Berkeley Police Department,MO,St. Louis,Berkeley,NC,
3754,Blue Springs Police Department,MO,Jackson,Blue Springs,NC,
3755,Bollinger County Sheriffs Office,MO,Bollinger,Marble Hill,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
3756,Branson Police Department,MO,Taney,City Of Branson,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
3757,Brentwood Police Department,MO,St. Louis,Brentwood,NC,
3758,Bridgeton Police Department,MO,St. Louis,Bridgeton,NC,
3760,Buchanan County Sheriffs Office,MO,Buchanan,St Joseph,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
3761,Butler County Sheriffs Office,MO,Butler,Poplar Bluff,NC,
3762,Butler Police Department,MO,Bates,Butler,NC,
3763,Caldwell County Sheriffs Office,MO,Caldwell,Kingston,NC,
3764,Callaway Eoc,MO,Callaway,Fulton,NC,
3765,Camden County Sheriffs Office,MO,Camden,Camdenton,NC,
3766,Cameron Police Department,MO,Clinton,Cameron,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
3767,Cape Girardeau County Sheriffs Office,MO,Cape Girardeau,Jackson,NC,
3768,Cape Girardeau Police Department,MO,Cape Girardeau,Cape Girardeau,NC,
3769,Carroll County E-911,MO,Carroll,Carrollton,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
3770,Carter County Sheriffs Office,MO,Carter,Van Buren,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
3771,Carthage Police Department,MO,Jasper,Carthage,S,PSAP is either a Duplicate or a Secondary PSAP. Calls are handled by PSAP #3829
3772,Cass County Sheriffs Office,MO,Cass,Harrisonville,NC,
3773,Cedar County Sheriff Office,MO,Cedar,Stockton,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
3774,Central County Emergency 9-1-1,MO,St. Louis,Ellisville,S,PSAP is either a Duplicate or a Secondary PSAP. Calls are handled by PSAP #3776
3777,Chaffee Police Department,MO,Scott,Chaffee,NC,
3778,Chariton County Emergency Services,MO,Chariton,Keytesville,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
3779,Charleston Department Of Public Safety,MO,Mississippi,Charleston,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
3780,Chillicothe Police Department,MO,Livingston,Chillicothe,NC,
3781,Christian County Emergency Services,MO,Christian,Ozark,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
3782,Clark County Sheriffs Office,MO,Clark,Kahoka,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
3783,Clay County Sheriffs Office,MO,Clay,Liberty,NC,
8026,Claycomo Police Department,MO,Clay,Claycomo,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
3784,Clayton Police Department,MO,St. Louis,St Louis,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
3785,Clinton County Sheriffs Office,MO,Clinton,Plattsburg,NC,
3786,Cole County Sheriffs Office,MO,Cole,Jefferson City,S,PSAP is either a Duplicate or a Secondary PSAP. Calls are handled by PSAP #3831
3787,Columbia-boone County Joint Communications,MO,Boone,Columbia,NC,
3788,Cooper County Ema,MO,Cooper,Boonville,NC,
3789,Crawford County E9-1-1,MO,Crawford,Steelville,NC,
3790,Crestwood Police Department,MO,St. Louis,Crestwood,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
3791,Creve Coeur Police Department,MO,St. Louis,Creve Coeur,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
8102,Crystal City Police Department,MO,Jefferson,Crystal City,A,PSAP was added since the original posting of the FCC Registry.
3792,Dade County 9-1-1,MO,Dade,Greenfield,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
3793,Dallas County 9-1-1,MO,Dallas,Buffalo,NC,
3794,Daviess County Central Communications,MO,Daviess,Gallatin,NC,
3795,De Kalb County Sheriffs Office,MO,De Kalb,Maysville,NC,
3796,Dent County Sheriff Office,MO,Dent,Salem,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
3797,Des Peres Police Department,MO,St. Louis,Des Peres,NC,
8103,Desoto Police Department,MO,Jefferson,Desoto,A,PSAP was added since the original posting of the FCC Registry.
3798,Doniphan Police Department,MO,Ripley,Doniphan,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
3799,Douglas County Sheriffs Office,MO,Douglas,Ava,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
3800,Dunklin County 9-1-1 Communications,MO,Dunklin,Kennett,NC,
3910,East Central Disptach,MO,St. Louis,Richmond Heights,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
3801,East Prairie Police Department,MO,Mississippi,East Prairie,NC,
3802,Eldon Police Department,MO,Miller,Eldon,NC,
8307,Eldorado Springs Police Department,MO,Cedar,Eldorado Springs,A,PSAP was added since the original posting of the FCC Registry.
3803,Elsberry Police Department,MO,Lincoln,Elsberry,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
3804,Excelsior Springs Police Department,MO,Clay,Excelsior Springs,NC,
3805,Farmington Police Department,MO,St. Francois,Farmington,S,PSAP is either a Duplicate or a Secondary PSAP. Calls are handled by PSAP #3935
3806,Ferguson Police Department,MO,St. Louis,Ferguson,NC,
8104,Festus Police Department,MO,Jefferson,Festus,A,PSAP was added since the original posting of the FCC Registry.
3807,Florissant Police Department,MO,St. Louis,Florissant,NC,
3808,Franklin County 9-1-1 Office,MO,Franklin,Union,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
3809,Frontenac Police Department,MO,St. Louis,Frontenac,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
3810,Gasconade County E9-1-1 Central Communications,MO,Gasconade,Owensville,NC,
3811,Gentry County 9-1-1,MO,Gentry,Albany,NC,
3812,Gladstone Department Of Public Safety,MO,Clay,Gladstone,NC,
3813,Glendale Police Department,MO,St. Louis,Glendale,NC,
3814,Grandview Police Department,MO,Jackson,Grandview,NC,
3950,Grundy County / Trenton Police Department 9-1-1,MO,Grundy,Trenton,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
3815,Harrison County 9-1-1,MO,Harrison,Bethany,NC,
3816,Harrisonville Police Department,MO,Cass,Harrisonville,NC,
3817,Hazelwood Police Department,MO,St. Louis,Hazelwood,NC,
3818,Henry County Joint Communications Center,MO,Henry,Clinton,NC,
3819,Hickory County Sheriffs Department,MO,Hickory,Hermitage,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
3820,Higginsville Police Department,MO,Lafayette,Higginsville,NC,
3821,Highway Patrol Troop E,MO,Butler,Poplar Bluff,S,PSAP is either a Duplicate or a Secondary PSAP. Calls are handled by PSAP #3761
3822,Holt County Sheriffs Office,MO,Holt,Oregon,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
3823,Howard County 9-1-1,MO,Howard,Fayette,NC,
3824,Howell County 9-1-1,MO,Howell,West Plains,NC,
3825,Independence Emergency Communications Center,MO,Jackson,Independence,NC,
8271,Iron County Communications,MO,Iron,Ironton,A,PSAP was added since the original posting of the FCC Registry.
3826,Iron County Sheriffs Department,MO,Iron,Ironton,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
3827,Jackson County Sheriff,MO,Jackson,Lees Summit,NC,
3828,Jackson Police Department,MO,Cape Girardeau,Jackson,NC,
3829,Jasper County 9-1-1 Center,MO,Jasper,Carthage,NC,
3830,Jasper County Sheriffs Office,MO,Jasper,Carthage,S,PSAP is either a Duplicate or a Secondary PSAP. Calls are handled by PSAP #3829
3831,Jefferson City /cole County 911,MO,Cole,Jefferson City,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
3832,Jefferson County 9-1-1,MO,Jefferson,House Springs,NC,
3833,Johnson County Central Dispatch,MO,Johnson,Warrensburg,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
3834,Joplin Police Department,MO,Jasper,Joplin,NC,
3835,Kansas City Police Department,MO,Jackson,Kansas City,NC,
3836,Kennett Police Department,MO,Dunklin,Kennett,NC,
3837,Kirksville - Adair County E9-1-1 Joint Communications Center,MO,Adair,Kirksville,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
3838,Kirkwood City Police Department,MO,St. Louis,Kirkwood,NC,
3839,Knob Noster Police Department,MO,Johnson,Knob Noster,NC,
3840,Knox County Sheriffs Department,MO,Knox,Edina,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
3841,Laclede County Communications Center,MO,Laclede,Lebanon,NC,
3842,Ladue Police Department,MO,St. Louis,Ladue,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
3843,Lafayette County Sheriffs Office,MO,Lafayette,Lexington,NC,
8108,Lake St. Louis Police Department,MO,St. Charles,St. Louis,A,PSAP was added since the original posting of the FCC Registry.
3844,Lawrence County 9-1-1,MO,Lawrence,Mt Vernon,NC,
3845,Lebanon Police Department,MO,Laclede,Lebanon,S,PSAP is either a Duplicate or a Secondary PSAP. Calls are handled by PSAP #3841
8233,Lee's Summit Fire Department,MO,Jackson,Lee's Summit,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
3846,Lees Summit Police Department,MO,Jackson,Lees Summit,NC,
3847,Lewis County 9-1-1,MO,Lewis,Monticello,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
3848,Liberty Police Department,MO,Clay,Liberty,NC,
3849,Lincoln County 9-1-1 Communications Center,MO,Lincoln,Troy,NC,
3850,Lincoln County Sheriffs Department,MO,Lincoln,Troy,S,PSAP is either a Duplicate or a Secondary PSAP. Calls are handled by PSAP #3849
3759,Linn County/ Brookfield Police,MO,Linn,Brookfield,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
3851,Livingston County Sheriffs Office,MO,Livingston,Chillicothe,NC,
3852,Louisiana Police Department,MO,Pike,Louisiana,NC,
3853,Macon County E9-1-1,MO,Macon,Macon,NC,
3854,Madison County 9-1-1,MO,Madison,Fredericktown,NC,
3855,Maplewood Police Department,MO,St. Louis,Maplewood,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
3856,Maries County Sheriffs Department,MO,Maries,Vienna,NC,
3857,Marion County 9-1-1,MO,Marion,Hannibal,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
3858,Marion County Sheriffs Office,MO,Marion,Palmyra,S,PSAP is either a Duplicate or a Secondary PSAP. Calls are handled by PSAP #3857
3859,Maryland Heights Police Department,MO,St. Louis,Maryland Heights,NC,
3860,Maryville Public Safety,MO,Nodaway,Maryville,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
3861,Mc Donald County 9-1-1,MO,Mcdonald,Pineville,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
3862,Mercer County Sheriffs Office,MO,Mercer,Princeton,NC,
3863,Miller County 9-1-1,MO,Miller,Tuscumbia,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
3864,Miner Police Department,MO,Scott,Sikeston,NC,
3865,Mississippi County Sheriffs Department,MO,Mississippi,Charleston,NC,
3866,Missouri Highway Patrol Troop G,MO,Howell,Willow Springs,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
3867,Moberly Police Department,MO,Randolph,Moberly,NC,
3868,Monett Police Department,MO,Barry,Monett,NC,
3869,Moniteau County Communications,MO,Moniteau,California,NC,
3870,Monroe County 9-1-1,MO,Monroe,Paris,NC,
3871,Montgomery County Sheriffs Office,MO,Montgomery,Montgomery City,NC,
3872,Morgan County 9-1-1,MO,Morgan,Versailles,NC,
3873,Mountain Grove Police Department,MO,Wright,Mountain Grove,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
3874,Municipal Radio System (mrs),MO,St. Louis,Pagedale,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
3876,New Madrid County Sheriffs Department,MO,New Madrid,New Madrid,NC,
3877,Newton County Central Dispatch,MO,Newton,Neosho,NC,
3878,Nixa Communications-e9-1-1,MO,Christian,Nixa,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
3879,Nodaway County Sheriffs Department,MO,Nodaway,Maryville,NC,
3880,North Kansas City Police Department,MO,Clay,North Kansas City,NC,
8109,O'fallon Police Department,MO,St. Charles,O'fallon,A,PSAP was added since the original posting of the FCC Registry.
3882,Olivette Police Department,MO,St. Louis,St Louis,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
3883,Oran Police Department,MO,Scott,Oran,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
3884,Oregon County Sheriffs Department,MO,Oregon,Alton,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
3885,Osage Beach Department Of Public Safety,MO,Camden,Osage Beach,NC,
3886,Osage County 911/emergency Management Agency,MO,Osage,Linn,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
3887,Overland Police Department,MO,St. Louis,Overland,NC,
8409,Ozark County,MO,Ozark,Gainesville,A,PSAP was added since the original posting of the FCC Registry.
3888,Ozark County Sheriffs Department,MO,Ozark,Gainesville,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
3889,Pacific City Police Department,MO,Franklin,Pacific,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
3890,Pagedale Police Department,MO,St. Louis,Pagedale,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
3891,Pemiscot County Sheriffs Department,MO,Pemiscot,Caruthersville,NC,
3892,Perry County Sheriffs Department,MO,Perry,Perryville,NC,
3893,Perryville Police Department,MO,Perry,Perryville,NC,
3894,Pettis County Sheriffs Office,MO,Pettis,Sedalia,NC,
8105,Pevely Police Department,MO,Jefferson,Pevely,A,PSAP was added since the original posting of the FCC Registry.
3895,Pike County Sheriffs Department,MO,Pike,Bowling Green,NC,
3896,Pine Lawn Police Department,MO,St. Louis,Pine Lawn,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
3897,Platte County Sheriffs Department,MO,Platte,Platte City,NC,
3898,Pleasant Hill Police Department,MO,Cass,Pleasant Hill,NC,
3899,Pleasant Valley Police Department,MO,Clay,Pleasant Valley,NC,
3900,Polk County Communications,MO,Polk,Bolivar,NC,
3901,Poplar Bluff Police Department,MO,Butler,Poplar Bluff,NC,
3902,Portageville Police Department,MO,New Madrid,Portageville,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
3903,Pulaski County 9-1-1 Communications,MO,Pulaski,Waynesville,NC,
3904,Putnam County E9-1-1,MO,Putnam,Unionville,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
3905,Ralls County 9-1-1,MO,Ralls,New London,NC,
3906,Ray County 9-1-1,MO,Ray,Richmond,NC,
3907,Raymore Police Department,MO,Cass,Raymore,NC,
3908,Raytown Police Department,MO,Jackson,Raytown,NC,
8112,Republic 9-1-1,MO,Greene,Springfield,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
3909,Reynolds County 9-1-1,MO,Reynolds,Centerville,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
3911,Richmond Police Department,MO,Ray,Richmond,NC,
3912,Riverside Department Of Public Safety,MO,Platte,Riverside,NC,
3913,Rock Hill Police Department,MO,St. Louis,Rock Hill,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
3914,Rockport Police Department,MO,Atchison,Rockport,S,PSAP is either a Duplicate or a Secondary PSAP. Calls are handled by PSAP #3742
3915,Rolla Police Department,MO,Phelps,Rolla,NC,
3916,Salem Police Department,MO,Dent,Salem,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
8106,Saline County E911,MO,Saline,Marshall,A,PSAP was added since the original posting of the FCC Registry.
3917,Saline County Sheriffs Department,MO,Saline,Marshall,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
3918,Schuyler County Sheriffs Department,MO,Schuyler,Lancaster,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
3919,Scotland County Sheriffs Department,MO,Scotland,Memphis,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
3920,Scott City Police Department,MO,Scott,Scott City,NC,
3921,Scott County E9-1-1,MO,Scott,Oran,NC,
3922,Scott County Sheriffs Office,MO,Scott,Benton,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
3923,Sedalia Police Department,MO,Pettis,Sedalia,NC,
3924,Shannon County Sheriffs Department,MO,Shannon,Eminence,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
3925,Shelby County E9-1-1,MO,Shelby,Shelbyville,NC,
3926,Sikeston Public Safety,MO,Scott,Sikeston,NC,
3928,Springfield Police Department,MO,Greene,Springfield,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
3929,Springfield-greene County 9-1-1,MO,Greene,Springfield,NC,
3930,St Ann Police Department,MO,St. Louis,St Ann,NC,
3931,St Charles County Dispatch,MO,St. Charles,Wentzville,S,PSAP is either a Duplicate or a Secondary PSAP. Calls are handled by PSAP #3932
3932,St Charles County Sheriffs Office,MO,St. Charles,St Charles,NC,
3933,St Charles Police Department,MO,St. Charles,St Charles,NC,
3934,St Clair County Sheriffs Office,MO,St. Clair,Osceola,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
3935,St Francois County Communications Center,MO,St. Francois,Park Hills,NC,
3936,St Joseph Emergency Communications Center,MO,Buchanan,St Joseph,NC,
3776,St Louis County Police Central,MO,St. Louis,St Louis,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
3881,St Louis County Police North,MO,St. Louis,St Louis,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
3927,St Louis County Police South,MO,St. Louis,Clayton,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
3937,St Louis Metro Police,MO,St. Louis City,St Louis,NC,
3938,St Peters City Police Department,MO,St. Charles,St Peters,NC,
7955,St. Charles County Ema,MO,St. Charles,St. Charles,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
8027,St. Louis County Police Department Bureau Of Communications,MO,St. Louis,,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
3939,Ste Genevieve 9-1-1 Communications,MO,Ste. Genevieve,Ste Genevieve,NC,
3940,Stoddard County 9-1-1 Services,MO,Stoddard,Dexter,NC,
3941,Stoddard County Sheriffs Department,MO,Stoddard,Bloomfield,S,PSAP is either a Duplicate or a Secondary PSAP. Calls are handled by PSAP #3940
3942,Stone County Emergency Services,MO,Stone,Reeds Spring,NC,
3943,Sugar Creek Police Department,MO,Jackson,Sugar Creek,NC,
3944,Sullivan County 911,MO,Sullivan,Milan,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
3945,Sunset Hills Police Department,MO,St. Louis,Sunset Hills,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
3946,Taney County 9-1-1 Administration,MO,Taney,Forsyth,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
3947,Taney County Sheriff,MO,Taney,Forsyth,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
3948,Texas County Sheriffs Office,MO,Texas,Houston,S,PSAP is either a Duplicate or a Secondary PSAP. Calls are handled by PSAP #3965
3951,University City Police Department,MO,St. Louis,University City,NC,
3775,University Of Central Missouri,MO,Johnson,Warrensburg,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
3952,Vandalia Police Department,MO,Audrain,Vandalia,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
3953,Vernon County Sheriff,MO,Vernon,Nevada,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
3954,Warren County 9-1-1,MO,Warren,Warrenton,NC,
3955,Warrensburg Police Department,MO,Johnson,Warrensburg,NC,
3956,Washington County 9-1-1,MO,Washington,Potosi,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
3957,Washington Police Department,MO,Franklin,Washington,NC,
3958,Wayne County Sheriffs Department,MO,Wayne,Greenville,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
3959,Waynesville Police Department,MO,Pulaski,Waynesville,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
3960,Webster County 9-1-1,MO,Webster,Marshfield,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
3961,Webster Groves Police Department,MO,St. Louis,Webster Groves,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
8107,Wentzville Police Department,MO,St. Charles,Wentzville,A,PSAP was added since the original posting of the FCC Registry.
3949,West Central Dispatch,MO,St. Louis,Town And Country,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
3962,West Plains Police Department,MO,Howell,West Plains,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
3875,Western Missouri 9-1-1 Dispatch Center,MO,Vernon,Nevada,M,"PSAP Name, State, County or City text has been modified since the original posting of the FCC Registry."
3963,Worth County Sheriffs Department,MO,Worth,Grant City,O,Orphaned PSAP no longer considered a primary call taking answering point. Refrain from using these in future filings.
3965,Wri-tex 9-1-1,MO,Texas,Houston,NC,
3964,Wright County Sheriffs Office,MO,Wright,Hartville,S,PSAP is either a Duplicate or a Secondary PSAP. Calls are handled by PSAP #3965
3966,Aaa Ambulance Service,MS,Forrest,Hattiesburg,NC,
3967,Alcorn County 9-1-1,MS,Alcorn,Corinth,NC,
3968,Alcorn County Sheriffs Department,MS,Alcorn,Corinth,NC,
3969,American Medical Response,MS,Harrison,Gulfport,NC,
3970,Amite County Sheriffs Department,MS,Amite,Liberty,NC,
3971,Attala County Sheriffs Department,MS,Attala,Kosciusko,NC,
